id,name,host_id,host_name,host_since,neighbourhood,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,availability_365,number_of_reviews,calculated_host_listings_count,reviews_per_month,review_scores_value
2224538,Large Family House Centre Amsterdam,11352364,Els,16-01-2014,Centrum-Oost,Townhouse,Entire home/apt,6,5,6,425,4,0,7,1,0.15,10
2224736,Historic houseboat in city centre,11353171,Wouter,16-01-2014,Centrum-West,Houseboat,Entire home/apt,4,2,4,349,3,302,51,1,0.87,9
2224903,"Sunny family app w garden, n center",11353909,Lot,16-01-2014,Oud-Oost,Apartment,Entire home/apt,5,2,3,175,6,209,12,1,0.21,8
2232393,Prinsengracht apartment,10864310,Manuel,28-12-2013,Centrum-West,Apartment,Entire home/apt,2,1,2,150,3,0,86,1,1.51,9
2233122,Children friendly home ,10689469,Tatjana,18-12-2013,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1,2,300,3,0,13,1,0.24,9
2234721,"Spacious, between 2 canals, off hip-street",11408530,Mayya,18-01-2014,Oostelijk Havengebied - Indische Buurt,Apartment,Entire home/apt,3,2,2,99,4,0,5,1,0.09,10
2235666,Lovely family friendly bohemian apartment,11413756,Laura & Christian,18-01-2014,Oud-Noord,Apartment,Entire home/apt,4,2,2,115,2,336,71,1,1.25,9
2235708,Spacious apartment in hotspot Pijp,6861784,Geert,11-06-2013,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,4,2,2,179,4,0,47,1,0.9,9
2251421,STUNNING 90 m2 loft in the centre,11499410,Richard,21-01-2014,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,2,1,180,14,0,1,1,0.02,10
2252380,Bright apartment near Jordaan,11503472,Liesbeth,21-01-2014,Westerpark,Apartment,Entire home/apt,2,1,1,120,3,0,11,1,0.2,9
2253284,Great central apartment!,11507135,Jan,21-01-2014,Centrum-Oost,Apartment,Entire home/apt,4,1,3,150,2,0,20,2,0.34,9
2259650,Cosy appartement with garden!,8809927,Eveline,13-09-2013,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,110,2,0,0,1,tt,0
2260822,"Appartment near the centre, with rooftop terrace!",11544503,Chananja,22-01-2014,Zuid,Apartment,Entire home/apt,2,1,1,150,1,0,0,1,tt,0
2261343,AMAZING LIGHT DESIGN APT IN CENTRE!,4742310,Valerie,17-01-2013,Centrum-Oost,Apartment,Entire home/apt,2,1,1,215,3,0,10,1,0.22,9
2261399,Gorgeous flat w/ garden next to RAI conv. centre,2785362,Francisco,30-06-2012,Buitenveldert - Zuidas,Apartment,Entire home/apt,2,1,1,95,2,29,30,1,0.63,9
2272303,Cosy apartment in De  Pijp bed and breakfast,11601106,Sonja,24-01-2014,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,4,1,5,295,2,302,52,2,1.05,8
2273399,Spacious Family Appartement,11606810,Claire & Mischa,24-01-2014,Zuid,Apartment,Entire home/apt,8,4,8,300,3,39,6,1,0.11,9
2275817,Old port of Amsterdam,11620583,Yme,25-01-2014,Centrum-Oost,Apartment,Private room,4,1,3,115,3,31,138,2,2.42,9
2275974,Cozy spacious 70m2 fully furnished,195580,Jakob,08-08-2010,Oostelijk Havengebied - Indische Buurt,Apartment,Entire home/apt,2,1,2,70,2,0,7,1,0.12,9
2281598,Family home by city center/park,8726556,Tal,09-09-2013,Zuid,Apartment,Entire home/apt,4,2,2,175,4,0,4,2,0.07,7
2282124,"Spacious maisonette, de Plantage - Artis zoo",11655485,Wouter,26-01-2014,Centrum-Oost,Apartment,Entire home/apt,4,3,5,230,4,18,6,1,0.22,10
2285864,Small cozy studio @ Jordaan,11678377,Anne,27-01-2014,Centrum-West,House,Private room,2,1,1,65,3,96,37,1,0.63,9
2290250,Spacious apartment 'Old garage',4250322,Tjeerd,26-11-2012,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,4,2,2,150,3,0,16,1,0.28,10
2290605,Authentic Amsterdam living,11650694,Elise,26-01-2014,Zuid,Apartment,Entire home/apt,4,2,2,175,3,308,35,1,0.62,9
2295460,Lovely Flat in Historic Red Light,11724972,Geoffrey,28-01-2014,Centrum-West,Apartment,Entire home/apt,3,1,1,225,3,359,24,1,0.47,9
2300660,"Two-level 90m2 app, close to metro",11751410,Ed,29-01-2014,Oud-Oost,Apartment,Entire home/apt,4,2,3,500,4,88,9,1,0.22,9
2305578,"Room, own access close to center",3586043,Maxine,16-09-2012,De Baarsjes - Oud-West,Apartment,Private room,1,1,1,46,5,66,27,2,0.64,9
2309762,Lovely flat with a cottage twist,3586043,Maxine,16-09-2012,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,70,5,1,12,2,0.21,9
2319717,"Central flat, modern place, rooftop",11845593,Yann,01-02-2014,Centrum-West,Apartment,Entire home/apt,4,2,2,240,3,0,18,1,0.32,9
2323819,Bright apartment near Westerpark (Bos en Lommer),36701,Leonie And Frank,07-09-2009,Bos en Lommer,Apartment,Entire home/apt,2,1,1,84,2,0,35,1,0.61,10
2327428,Cosy appartment with sunny garden!,5232385,Jeroen,26-02-2013,Oud-Oost,Apartment,Entire home/apt,2,1,1,155,2,65,10,1,0.22,9
2327850,Beautiful apartment in 'de pijp',3973771,Caro,25-10-2012,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,109,3,0,25,1,0.45,9
2327973,Beautiful New Loft near Vondelpark 40m2 Roofterras,7999467,Ivar,07-08-2013,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,250,5,364,5,1,0.25,10
2334206,Quiet 65m2 apt close to the centre,1746634,Derek,13-02-2012,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,48,1,0,5,1,0.1,8
2334288,"LE PETIT PRINCE, Canal apartment!",11924110,Bettina,04-02-2014,Centrum-Oost,House,Entire home/apt,2,1,1,139,3,1,85,1,1.51,10
2334466,Nice and Cosy 4 room apartment,7594884,"Ruben, Sarah & Lindy",19-07-2013,Slotervaart,Apartment,Entire home/apt,2,1,1,97,3,0,63,21,1.1,9
2335656,"Spacious, Bright & Well located apt@ Cool West",2778881,Thijs,29-06-2012,De Baarsjes - Oud-West,Apartment,Entire home/apt,3,1,1,129,3,10,7,1,0.44,9
2336238,Prestigious Canal House Centre.,8352582,Manisa,23-08-2013,Centrum-Oost,Apartment,Entire home/apt,4,2,2,350,1,12,21,1,1.13,9
2336764,Modern and spacious appartment! ,11010221,Frank,04-01-2014,Oostelijk Havengebied - Indische Buurt,Apartment,Entire home/apt,3,2,2,109,2,58,40,1,0.7,9
2337807,cozy room w/ private sink & shower,10569558,Velvet,11-12-2013,De Pijp - Rivierenbuurt,Apartment,Private room,2,1,1,57,1,304,88,1,1.56,9
2343911,Sunny apartment in East Amsterdam,5145209,Steven,19-02-2013,Oostelijk Havengebied - Indische Buurt,Apartment,Entire home/apt,2,1,1,80,1,0,4,1,0.15,9
2344055,Large bedroom in cosy flat near Jordaan/center,4387509,Mariana,12-12-2012,Westerpark,Apartment,Private room,2,1,1,62,2,0,4,1,0.14,10
2344086,"Light 4BD, with balcony ",10271537,Leila,26-11-2013,Oostelijk Havengebied - Indische Buurt,Apartment,Entire home/apt,4,3,4,85,3,0,1,1,0.02,8
2345576,Canal Villa Apartment + Roofgarden,4659585,Valerie,10-01-2013,Centrum-Oost,Loft,Entire home/apt,5,3,5,545,3,302,48,1,0.84,10
2347252,Apartment with rooftop in centre,11988372,Sylvia,06-02-2014,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,130,4,194,32,1,0.66,10
2347301,Spacious and Light Family Home ,11300670,Rogier & Violet,14-01-2014,Westerpark,Apartment,Entire home/apt,4,3,6,210,3,11,48,1,0.85,10
2348960,City apartment (85m2),11994755,Floris,06-02-2014,Centrum-Oost,Condominium,Entire home/apt,2,1,1,250,3,205,9,1,0.27,10
2349446,"The Bedstay - authentic, cosy and unique retreat",11997764,Christine,06-02-2014,IJburg - Zeeburgereiland,Cabin,Private room,2,1,1,75,1,104,156,1,2.68,9
2353432,Lovely house +garden +free parking!,12018031,Marjolein & Ernst,07-02-2014,Noord-Oost,House,Entire home/apt,4,3,3,150,5,96,5,1,0.09,9
